[ASR: Qwen | 語言: Chinese]

[0.32s -> 57.04s] SPEAKER_01: 專注產業透視未來歡迎來到透視未來今天我跟創辦人小七我們一起來到位於彰化的車輛安全審驗中心VSC哈今天很高興能夠訪問到我們的執行長作為國周執行長執行長你好呃社長創辦人跟各位聽眾各位觀眾大家好好呃我想今天啊是非常非常好的一個機會哈可以讓大家來認識這個VSC哈我知道我們大家對呃VSC哈可能會比較有點陌生所以今天正好趁這個機會哈來呃了解一下他們的這個呃本身的這個運作的內容是怎麼樣一個狀況那我知道我們在二零零九年VSC正式成立了好所以到現在為止已經十三年十四年了哈是可不可以請呃我們執行長跟大家簡單介紹一下我們在過去這十幾年的時間的發展的內容哈跟它的營運的狀況以及到現在我們進行到聽說進行到第三代的這個安審的作業哈這個整個過程哈可以跟大家簡單做一個說明剛剛社
[57.04s -> 210.37s] SPEAKER_02: 長提到我們那個VSC的發展過程我想先讓大家了解一下事實上我們的前身是在車輛研究車中心那我們是民國九十八年呢哦交部成立的這個臺灣法人車輛安全審驗中心我們才從那個所謂車輛中心哦業務才分隔嗯區隔出來哦這是第一個部分那區隔出來當時就把當時還在ART系協助交部辦的所謂車輛安全審驗的業務呢就直接帶到新的車輛中心繼續來延續繼續來協助交部來做辦理那剛剛社長提到的這個所謂安審的這個作業系統呃實際上在ART的階段我們那時候已經協助交部已經完成到第二版好那接下來我們在民國一百零三年的時候哦有創了一個所謂安審作業系統的三點零的版本所謂三代安審系統初期在這個一百零三年的時候呢哦主要是針對呃我們所申請的廠商或客戶所送的這個資料或文件呢啊過去都要走紙本那在一百零三年我們三代安審剛開始上線的時候呢就把這樣的紙本作業通通改成呃申請的廠商可以在他的那個作業場所就所謂辦公室呢直接把它跟成電子檔案直接用電子檔傳送給我們這可以大幅減減少這個廠商的這個作業跟紙張的浪費那接下來在一百一十一年呢就是今年大概那換句話說等到這個納進來之後我們三代安審可以講哦就包括了我們說安審的作業的所有這個車輛也包括了我們說安審的所有從新車一直到庫存車的所有檢驗的這個對象統統完整的百分之百給它做一個涵蓋哦這是呃過去這幾年我們在這個安審作業系統上面的一些努力哦跟那個呃目前的一個作業的一個結果
[210.84s -> 282.05s] SPEAKER_01: 是我想我們執行長剛才就是做一個說明哈我們這個車輛安審中心哈不只是對安全做法關哈同時對我們的呃民眾相關的這個作業哈廠商的作業系統哈也是有個便民一個做法哈當然剛最後一個事情哈我想再確認一下就是您剛講這個是進口車庫存的跨年車嘛對不對是所以這個也包含了像一般的平行輸入也是在這裡面也包括在裡面OK哈所以這個也讓我們呃鏡頭前的朋友們哈大家都能夠了解到這樣的一個狀況在我進入談到我們汽車的未來的一些相關的安審之前哈我想先問一下前兩個禮拜哈我們這邊呃這個有做一件大事哈跟這個ARTC車輛中心哈我們一起做了一個TNK臺灣新車安全平等哈的第一狀哈我想這件事情哈非常的重要呃也是讓大家都能夠了解到說在上市以後的車子哈它的安全性是怎麼樣我知道我們這個規範哈比臺灣的法規還要再更嚴苛一點哈這個部分可不請我們執行長也跟大家稍微分享一下我們接下來TNK這樣一個計劃未來我們是怎麼樣會去進行讓我們消費大眾能夠更清楚了解到車子的安全性
[282.37s -> 487.03s] SPEAKER_02: 如果講這個所謂臺灣新車安全平等TNK這個事情呢我想呃背景我先說明一下呃我們認為哈這個車輛安全的管理哈大概有四個主要的一個部分那第一個部分就是一般民眾車子領了牌之後的新車監理檢驗或者領了牌之後的三年或者每年必須進行的監理檢驗這個叫做車輛安全的第一塊呃拼圖叫做監理檢驗那第二個部分就剛剛跟各位報告的這個所謂車輛安全審驗那車輛安全審驗就是政府訂定針對車輛的一些安全一個最基本的一個門檻的一個法規哦包括零組件系統乃至到整車哦這些零組件系統跟整車必須符合交務所定的一個最基本的一個安全檢測基準符合之後拿掉這個合格證哦憑這個證這樣的一個recall的一個召回改正機制呢是有助於呃我們車廠哦去解決問題協助車主當碰到這些安全瑕疵的議題時候呢能夠透過車廠有效的一些改正作業讓這個車子能夠去做一個更好的一個安全的一個確保那這樣的一個召回改正的安全瑕疵的一個制度是我們車安全管理的第三個拼圖那在上上禮拜哦在教育部的這個指導下呢就是新車安全平等這塊呢算是呃他說的這個第一步那新車的平等呢剛剛社長有提到他的這個測試的這個項目測試的標準哦都會比剛前面講的第二個部分車輛安全審驗的這個華規的最低的門檻的要求要來的項目更多然後標準或測試方法會更嚴格哦比如說呃實車碰撞的華規要求大概時速只要求到五十六公裡但是我們在TNCAP的這個平面呃正撞裡面呢是要求到速度會到呃六十公裡所以會更高的一個標準哦那更嚴格的哦上面會放更多的這個成員來自於華規沒有規定的這個呃小朋友的這個家人哦在TNCAP裡面做一些很多的這些安全的測試然後從他的這個家人的身上哦會安裝很多不同的這些檢測元件會做一連串的資料的收集收集完之後呢會做一個分數的換算哦這是在全世界臺灣是第十三個哦導入這樣新車安全平等的這個國家或者是地區呃其他的十二個國家或地區呢呃跟臺灣一個最大的一個區別哦臺灣大概是這十三個導入Ncap的這些國家或地區裡面相對車輛產業規模比較小的那坦白講車廠的技術應對能力也相對比較薄弱那這個部分也是我們未來這個所謂臺灣的TNCAP所必
[487.03s -> 517.99s] SPEAKER_01: 須面臨的挑戰就我的了解是我們這個TNCAP現在接下來執行的方向基本上是每年會測八臺車這八臺車是挑全臺灣當年度還是前一年度哈賣的最好的八臺車哈我想方向是這個樣子就說量比較大的我們就先去測哈這個大概是這樣一個做法那我也知道說我們TNCAP現在在呃整個這個規範上面應該是參考EuroNCAP那麼當然比較重要就是說呃當然我們消費者都看這件事情哈我知道說這一臺要去
[547.13s -> 609.05s] SPEAKER_02: 全世界都一樣當地的這個Ncap都會強調的重點一定會有本土化哦就會依照當地國家的這個道路環境交通事故的樣態的這個差異性會發展出不同特色的Ncap的這個規規章所以剛社長說的為什麼呃我們所選擇的車型一旦選定完之後呢我們就必須呃尋這個銷機會我們現在目前是委託銷機會用個人的名義呢哦匿名的方式扮演一般的消費者到全國各個地方的這個經銷商一輛車一輛車去買那同型式的呢哦就像剛講的我們至少會買四輛哦來應付這個四個哎破壞性的試驗目前以教育部的這個年度預算來看的話我們準備會挑選銷售量比較前面的前八個車型總共會買三十輛車至少哦來分別進行相關的這個哎平等的這些相關的
[609.05s -> 626.01s] SPEAKER_01: 試驗TNcap的測試和碰撞剛已經提到是在全省在呃前一年度哈呃銷售量前八名的呃如果它是國產車當然要去撞如果它是進口車呢如果已經有國外的測試的數據我們還要撞嗎好
[626.09s -> 686.01s] SPEAKER_02: 這個問題問的非常好哈我剛有提過呢全世界目前是三個國家地區的這個Ncap的都不一樣所以即便同一型車即便是進口車在歐洲有Ncap或在美國的Ncap或在日本的TNcap或甚至在韓國的TNcap即使做過這個所謂新車件平等我們有只比較過它的測試的項目測試的方法測試的標準資料的截取還有分數的計算哦新等如果去平等完全不一樣所以在國外評價過的車型即使相同規格進入到國內來還是必須在國內重新來依照TNcap的規章重新做試驗所以我們現在目前TNcap的評價對象呢是不管國產也好進口也好只要它銷售量進到我們評估的對象裡面的話哦一律公平哦都來做這樣的一個
[686.17s -> 699.93s] SPEAKER_01: 平等的這個測試但剛社長講就說現在目前挑選車輛的話是挑銷售量比較多的哦如果今天有車廠或者是進口商它沒有達到這個前幾名但是它想要主動來申請呃測試可以嗎
[700.09s -> 749.98s] SPEAKER_02: 當然可以在目前的這個TNcap的規章的這個規範內容唯一的差別只有兩點第一點呃正母的預算跟呃車廠的預算錢的來源不同這是第一點第二點呢車款的選擇不同正母的預算一定會挑選同車型裡面安全配備最陽春的車款好來做這個平等的對象那如果是車廠智慧的話呢在規章裡面是允許車款可以由這個車廠自
[749.98s -> 760.62s] SPEAKER_01: 己來決定那我想說除了這個車子以外哈這些申請的廠商哈不管是車廠或者進口商他們要支付的費用是怎麼樣來算的我希望大家來問一問這個問題哎
[761.10s -> 773.74s] SPEAKER_02: 呃這個部分呢因為目前為止哈呃交部還沒有正式核定哦車廠智慧申請的這個事業的收費標準哦所以這個部分我很抱歉現在沒辦法來回答大家
[774.30s -> 826.30s] SPEAKER_01: 問完了這個呃有關於這個大家對這個有興趣的天可以之外哈我們接下來就要問有關汽車未來的事情了大家都知道我們在呃接下來哈其實基本上目前這個電動車時代已經慢慢的這個來到了哈當然過去這段時間呢臺灣的電動車的銷售量其實並沒有很多哈其實主要是集中在某一個品牌上面哈其他品牌的銷售量並不多哈但是我相信在有朝一日而且這個時間很快會來到它會進到這個剛剛我們所講的我們要主動去測試的前景之內那麼當然在這樣一個狀況之下大家也很關心哈電動車哈很多人都會提到電動車撞到車以後會怎麼樣怎麼樣哈等等這些問題首先第一個就是有關於電池方面的哈不管是電池的零組件哈這個這個單品也好或者是電動車整車也好我們這邊BSC有沒有什麼特別針對這個車型或者是零組件方面的一個新的規範出來了
[826.70s -> 914.27s] SPEAKER_02: 針對電動車的安全的管理哈交部在一百零三年哦就已經發布了一個電氣安全的一個檢測基準哦那這個電氣安全檢測基準是發布了呃聯合國U1CR一百哦的版本那聯合國U1CR也在去年更新到第三版了那這個部分呢我我們也把這個更新到第三版的內容也提供給交部了那交部目前正在進行審定中那這個電氣安全主要就是針對電動車車上的這個電池的安裝跟電池整車的安全哦做一個確保這個是一個法規的一個強制要求的一個基本門檻但是好這我再次提醒一下絕對不要把法規當常規
